title_id,licence_cost_usd,production_cost_usd,licence_start,licence_end,cost_type
1,450000.00,0.00,2024-01-01,2027-01-01,licensed
2,1200000.00,0.00,2024-03-15,2026-03-15,licensed
3,0.00,8500000.00,2025-06-01,2099-12-31,original
4,275000.00,0.00,2024-07-01,2026-07-01,licensed
5,0.00,3200000.00,2025-02-14,2099-12-31,original
6,890000.00,0.00,2023-11-01,2026-11-01,licensed
7,150000.00,0.00,2025-01-01,2027-01-01,licensed
8,0.00,12400000.00,2026-01-20,2099-12-31,original
9,620000.00,0.00,2024-09-01,2026-09-01,licensed
10,340000.00,0.00,2025-04-01,2028-04-01,licensed
11,0.00,5600000.00,2024-11-11,2099-12-31,original
12,780000.00,0.00,2023-06-15,2026-06-15,licensed
13,95000.00,0.00,2025-08-01,2027-08-01,licensed
14,1450000.00,0.00,2024-02-01,2027-02-01,licensed
15,0.00,2100000.00,2025-09-30,2099-12-31,original
16,520000.00,0.00,2024-05-20,2026-05-20,licensed
17,210000.00,0.00,2025-03-01,2028-03-01,licensed
18,0.00,9800000.00,2026-03-05,2099-12-31,original
19,660000.00,0.00,2024-08-12,2026-08-12,licensed
20,180000.00,0.00,2025-10-01,2027-10-01,licensed
